Attachment size in more human-readable format. ##,enhancement+
"Badly formatted MIME prevents email from syncing. New e-mail should show in InboxGet an ""IllegalArgumentException"" error1. Check Mail2.3. 5.201  6.0.1 POP3This happens on all of my accounts after the new K-9 Mail update.",bug+
"Contact auto selecting first item. If there are ""FirstUser@example.com"" and ""SecondUser@example.com"" in my Contacts and i type ""User@example.com"" then app selects first entry from contacts and i cannot send email to ""User@example.com"". Previous versions allowed me type address and select one from suggestions if i want. Work around is to end the address with a comma & a space so new address object is created. 5.201",bug+
"K9 5.201 crashing.... A nice and stable app is going real unstable and bad. It start crashing, and response slow.-Update of db is ok with success.-Normal day use it crash some time when it receive a mail. -5.201-6.0.1-IMAP-Start crashing after latest update, have runned for years!",bug+
BCC not working as expected. I wrote the mail with BBC on my Android 6.0.1.So other people from CC shouldn't know that there are e-mail on BBCAll were able to read that there was bbc1. Write mail with BBC2. See their smiling faces when they discovers that boss e-mail is on BBC. 5.2016.0.1. IMAP and SMTP on zoho.com,bug+
"After v5.201 upgrade, stopped receiving email. Prior to the upgrade, during inbox polling, if new messages exist, a copy of the new messages will down load to my phone.After the upgrade to v5.201, during polling, it just says loading for a very long time and then stops.  No new messages are dowe loaded eventhough 1.2.3.",bug+
"Error Decrypting Email. Expected decrypted email to show in cleartextError Eecrypting Email message shown with icon from OpenKeyChainSend encrypted email to an account handled by K-9Open email in k-9Answer password request for decryption KeySee error message 5.201 Android Version 6.0 - HTC M8 Sending Account was IMAP Receiving Account IMAP (gmail)Both Public keys were imported from old AGP into OpenKeyChain.Intentionally entering a wrong passphrase gives a different message: Wrong password.Mail sent from either account to the other (encrypted) works in Thunderbird.  Mail sent from Thunderbird also yields ""Error Decrypting mail"".Process: com.fsck.k9, PID: 17677   <---- in Log[k9-log-5.txt](. ",bug+
"Black text in quotation in replies. When replying to a mail the quoted part should be shown in white, also when the black design is used.![](. ~~Additionally you may need to use a black design in Cyanogenmod.~~The pre-5.0 version the quote was shown correctly. 5.20 CM 13",bug+
"No way to supress ""mark all as read"" confirmation dialog.. Menu > settings > interaction > confirm actions:  should contain ""mark all as read""Irritating dialog shows up every time ""mark all as read"" is selected1. Select ""Mark all as read""2. Get mandatory dialog.3. Search for new mail app, note many similar complaints on play store4. Sad face. 5.201 any any",enhancement+
ImapResponseParser.parseLiteral timeout error. [k9-log.txt](. K9 should be able to read IMAP mailIt logs in the IMAP account but doesn't read the mail box.1.2.3.5.2016.0.1IMAP,bug+
Database size doesn't decrease.  Before the update when I would empty the trash the mailbox size would reduce now after the update this is not happening. Even after using the option to clear local Messages the size of the mailbox was only reduced by a very small amount .  Before the update the size of my Nina email box after clearing all trash was approximately 92 KB to 127 KB now after deleting all local messages it is still over 1 MB. I am using canine mail app for four different email accounts sure the size of the mailboxes is quite excessive .  5.201  6.0.1 POP3 and IMAPGalaxy Note 5,bug+
message subject no longer shown on message view. the message subject should be shown in the message viewthe message view no longer shows the message subject1. open a message2. try to read the message subject in the message view 5.201 7.1.1 IMAP,bug+
Crypto indicator displayed in token dropdown when no crypto provider configured. See this screenshot provided by someone on the mailing list.![multi-mail](. The three dots were mistaken for a broken menu indicator.,bug+
"After recent update, email doesn't download or delete. Example: emptying the trash should empty the trashNothing happens, sometimes the app crashes1. Click on folder icon next to account2. Expand menu3. Click empty trash5.2016.0.1Pop3",bug+
"Cannot zoom HTML messages properly if at all. HTML mail should pinch zoom as it always hasIn 5.201 I tried zooming a few HTML emails. Nether would pinch zoom (though double tapping made them a tiny bit bigger). At least once this led to a crash of the app.I reverted to 5.010 and zoom works just fine with the same mail - in fact, it never had any such issue so I'm not upgrading until this is fixed.Open html email e.g. from Xbox.comPinch zoomEither nothing happens, it moves a tiny bit, or it ends up crashing.5.201 is broken for this. Works fine in 5.0107.0 on Nexus 6IMAP",bug+
"Cc/Bcc expander barely visible in dark theme . K-9 Mail version 5.115 used to provide the option of choosing a TO, CC or BCC recipient in the selection field at the very top of the compose an email window. This is no longer available in version 5.2. There should also be the option to choose a To, CC or BCC recipient in the pull down list When composing an email one can't select a CC nor BCC recipient unless one has checked ""Always show Cc/Bcc"" in the settings for each email account. 1. Compose an email 2. Can't select Cc nor Bcc recipients for the email 5.26.0.1POP. ",bug+
"Crash if email address of contacts is malformed. Maybe a warning.Crash.1. Create a contact email with email ""user@domain.tld>"", ""<user@domain.tld"" or ""us<er@domain.tld""... with or without quotes.2. Touch the email from the contacts application.3. Crash.5.2005.1IMAP",bug+
"Don't limit subject in message view to 3 lines. 5.200-rc2ls-4001/lyfandroid 5.1 aospif the subject is more than 3 lines occupying almost 50% of screen area, please find screenshot [z].please implement any one of the following:[q] remove subject on top of the e-mail.[w] reduce the size of the subject.[e] if you intend to keep both [ subject on top & subject w/ to & from e-mail address], please try not to occupy not more than 25% of screen area. i mean message body occupies nearly or almost 75% of screen area.[r] introduce a button to increase the text size of e-mail body.[z] . ",enhancement+
"Bcc recipient doesn't appear in drafts. When opening a draft, the user should be able to see the emails of the bcc fieldOnly the big letter with a coloured background appears instead of the email. Also the cursor position is wrong ( under the background of the letter)1. Create a new message2. Add a bcc address3. Save as a draft4. Open the draft and check the bcc field 5.1154.4 IMAP",bug+
"Snooze Feature like in Google Inbox. I would like to have the ""snooze"" feature like google inbox has.not possible in current k9 app.##",enhancement+
"Mark deleted mails as ""read"". This is a suggestion.Move mail to trash ",enhancement+
"""Mark as read"" not working from notification. Selecting ""mark as read"" should mark the email as read and dismiss the notificationAbsolutely nothing!1. Send email to self2. Expand the notification3. Select ""Mark as read"" 5.115 6.0.1 IMAP",bug+
"Feature Request: Extend unread widget to choose any folder. When I add a ""K-9 Unread 1x1"" widget I would like to be able to select any folder.The current version can only select an account... resulting in the unread count of the inbox. v5.010 6 imapThis same behavior would be useful in #1600 which tries to show the contents of a folder in a widget. This issue is about the existing widget that just links to a folder.",enhancement+
Update cipher list to latest Mozilla recommended cipher suite. It would be nice if K9 mail could support this recent cipher for TLS (,enhancement+
"try to lookup pgp-keys when *reading* new email. get new email from ""sender"" which is signed with pgp-keywhen pgp provider like openkeychains is active, k-9 should ask openkeyschain to lookup ""sender"" and check if there is a key stored online.if yes -> download key and use itif no -> just read email normallyget new email from ""sender"" which is signed with pgp-keyemail is shown, but key is not download and no dialog is shown to let the user download the key(also a setting to download keys in the background without user interaction should be available to make it easier for ""normal"" users to use pgp with ease)see above 5.114 (f-droid) 6.x IMAP",enhancement+
"Notification not cleared when deleting message(s) from notification. When I choose to ""Delete"" a message or messages from a notification, the notification should be cleared afterwards.While the mail is correctly deleted, i. e. moved to trash on server, the notification is still displayed.1. Send a test mail to one of the configured accounts.2. Select ""Delete"" from the notification 5.114 6.0.1IMAP (self-hosted dovecot as well as mailbox.org)",bug+
"K9 is unable to utilize 2FA. Login to email service secured with 2FA prompts 2nd page to input verification code, app password should be used for last emergency resort.K9 fails to recognize there's 2FA enabled and it throws error message instead1. Enable 2FA on Gmail/Hotmail2. Input user/pass on K93. Wrong password appears on screen 5.010 5/6/7 all types",enhancement+
"Tor Hidden Service support. Tor HS (`.onion` domains) should be usable as SMTP/IMAP/POP3 servers.Upon entering a HS domain in the appropriate setup wizard / account settings field and saving a> Cannot connect to server. (Unable to connect.)window appears, though browser opens `.onion` domains fine (for reference, Orbot VPN is used for transparent torification).I could also provide adb logs if necessary.1. Enter a HS domain in setup wizard.2. Get an error message.Some email providers offering HSs: . , . , .  5.010 and 5.114 6.0.1 only tested with IMAP.",enhancement+
"no apparent way to set composition crypto default. Ability to set custom default crypto setting, I.e. 'none', 'sign only', etc.Preferably setting per identity.Always defaults to 'always sign, encrypt if possible'. 5.114Anyany",enhancement+
"Quick Actions don't get displayed on Android 7.0. Obviously, when this setting is enabled for ""single"" or ""all"", the delete button should appear for the appropriate number of messages being present.Notification appears, WITHOUT the delete button1. Enable notification delete button2. Exit k93. receive an email 5.1147.0 (Nexus 6) or 7.1 (Pixel).IMAP / not applicable.",bug+
"HTML messages not displaying. HTML messages should be rendered, with an option to show external imagesEmail display is blank, with only a ""download complete message"" button... which does nothing1. Open HTML email from inbox2. Email is displayed as blank3. Press ""download complete message""4. Email is still blank 5.114 6.0.1 Gmail (via IMAP)##",bug+
Use 'Sender' field to provide on behalf of information. A message with a ,enhancement+
"Feature Request: Button ""Folders"" instead of ""Order by"" (Like in native Android app). I would appreciate possibility to set displaying of ""show folder"" button as one of main buttons, visible for one-tap using.The same way, like it is in native android application.There is ""order by"" button instead of it in K9mail.I use K9 mail instead of native android mail app,because K9 can refresh (download, sync) all folders in account,and I use lot of folders (and filters, which are directing new messages into various sub-folders; and I need to read some sent or archived message sometimes).So, I need to switch view between various folders very often.And I absolutely do not use another ordering but a default newest top.So I would like to have button ""folders"", as it is in default android app.I have not found such possibility in settings.K9mail is necessary for users with lot of folders,so more users could appreciate that button, I think.Thanks.",enhancement+
"""Fetching headers null:null 3/3"". Obviously it shouldn't be null. Also it seems to be stuck like that.",bug+
"Switching from dark to light theme (or vise versa) inside message doesn't work. When `fixed message theme` option is disabled, switching the theme when viewing a message should switch the theme immediately.After switching the theme inside the message, the message view reloads but the theme stays the same. I need to leave the message and open it again to get the other theme.1. Disable `fixed message theme` option2. Open message and switch to dark / light theme v5.111 + v5.112 (iirc, before v5.111 I didn't have this problem) 6.0.1Account type : IMAP",bug+
Notifications raised incorrectly with multiple accounts. If you have multiple accounts for K-9 and you get new email in them you should get one notification per account. What actually happens is that new emails are listed under the wrong notification. For example if I have account A and account B. 1. I get an email from A2. A notification is created for A. This is correct. 3. I get an email from B.4. A new notification is created for B. This is also correct. 5. The notification for A is updated with the email from B turning it into a multi-line notification. This is incorrect.Seen on: K-9: master branchAndroid: Nougat (7.0)Nexus 6P,bug+
"Cannot configure an email account. I should be able to enter my username+password and access my emailsK9 was installed and working fine. I just ""emptied"" the application's data to save some space.Now, K9 starts as if it were freshly installed and asks agains for account configuration. Entering username and password results in application crash.Even when cleaning data again, removing totally the app and reinstalling it, it still crashes.Entering a false username/password tuple results in a message ""cannot contact server"" with a dialog showing options ""continue/modify configuration"". Both options results in app crash...1. clear app data from the android OS menus2. try to configure an email account latest from PlayStore as of today (2016/10/03) 4.4.2GMail",bug+
"For OpenPGP encryption, email address must be in Android's contacts. 1. Create a new mail to some address you have a public key for.2. Select ""Always encrypt and sign"" in the encryption menu.3. Click ""Send""Encrypts and sends the mailSays there is not public key for the receiver.Although there's a public key and everything just works and encrypts if set to ""Encrypt if possible"".Remember: The choice ""Always encrypt and sign"" is important if you want to be sure to encrypt! 5.111 6.0 (Cyanogenmod 13) IMAP",bug+
Wrong order for multipart/alternative children. We create `multipart/alternative` parts with a `text/html` part as first child and `text/plain` as second child. This isn't what other clients do. And it seems to confuse Thunderbird which then only displays the `text/plain` part.Affected version: 5.111,bug+
"Composer crashes when an invalid mail address is about to be shown in recipient selector . 1. create a contact with a name and an invalid mail address, e. g. ""(none)""2. click '+' to compose new message3. type first letters of the contact name until it should be shown##",bug+
HTML/formatting stripped when forwarding HTML emails. ,bug+
"Don't update crypto mode right away. ![screenshot_k9mail_crypto_dialog_slider_release_changes_preference_immediately](. The crypto mode changes the moment the slider is released, not when the ""Proceed"" button is pressed. This makes it impossible to cancel the selection by pressing the back button or dismissing the dialog by clicking somewhere outside of it.",enhancement+
"Use active color for ""Never Sign or Encrypt"". ![screenshot_k9mail_never_sign_or_encrypt_no_highlight](. The ""Never Sign or Encrypt"" icon has no active color unlike all the other icons in that dialog. I think a slightly darker grey would work fine.",enhancement+
"Dialog is shown every time ""Enable PGP/INLINE"" is selected. ![screenshot_k9mail_enable_pgp_inline_dialog](. This gets old fast. We should display the dialog maybe 2-3 times and then assume the user knows what it's all about and not show the dialog anymore.PS: The light area in the background is where the keyboard used to be before the dialog was displayed.",enhancement+
Android Nougat: Email Context Menu at Wrong Position. If I long tap on a message the context menu should appear besides the finger position.The context menu appears at the lower end of the screen and is only 1-2 lines in size.1. Select a message2. Long tap3. See what happens 5.010 Nougat (7) Release All (type independent),bug+
K9 Mail consistently crashing on email delete. ##,bug+
"No Subject/No Text. I expect email to properly sync or at the least fix themselves after a new sync.Today is the first time in a while it's happened, but I ended up with 4 emails in one screenshot getting this error.  They are real emails on the server side I can see fine.  This problem is only corrected by deleting the real emails and then syncing in k-9 to get rid of them.  I can't find a way to get the actual email to sync up.1.  Just manual syncing and checking emails since I don't push/force sync.   2.   3.5.0105.0IMAP - yahoo![screenshot_2016-08-03-13-13-16](. I just enabled debug logging.  When it happens again I'll update with the log.",bug+
"Unable to View Messages. When I tap on a message, I should be able to read that message. The message opens, but the message contents are missing. 1. Tap on Google email message.2. Message opens. 3. There is no message.4. Rinse and repeat for each Google email account.5. Try uninstalling and reinstalling. No change. 5.110 5.0.1 IMAP",bug+
"Regression: With Office 365, read messages become unread upon next sync. When configured to use IMAP with Office 365, if I read a message in k-9 mail or mark it as read:- It should stay ""read""- It should show as ""read"" in my other email clients.The message stays ""read"" until it syncs again, after which it becomes unread again.- This is a regression. It used to work perfectly. - Changed in the last week or so.- My Thunderbird client does not exhibit this behavior for the same account.- My other, non-Office-365, IMAP accounts do not exhibit this behavior in k-9 mail.1. Configure k-9 mail as directed under MS Outlook Office 365 Options:Mail:Accounts page:      ",bug+
"Cannot Paste into ""To"" field. Paste context dialog should come up when long clicking into ""to"" field.Nothing happens1. Long click into ""to"" field 5.110 6",bug+
"Webdav (Exchange) sending email is broken since v5.109 (alpha).  6.01Using K-9 Mail v5.010 (stable) i could send emails using my old WEBDAV account.But never delete emails on the server.Then Updated to K-9 Mail v5.109 (alpha) / and also to K-9 Mail v5.110 (alpha).Now I can delete emails on the server, but I can not send emails any more.They end up on the outgoing folder.Sorry I can't tell you the error message. The message text is too long so it's truncated...Then Downgraded (titanium Backup / also the database) and sending emails is working again.",bug+
"""To"" field does not convert typed email addresses to tokens on send. Autocomplete address field ""To"" should convert typed email addresses to tokens when clicking sendIt does not, shows ""Recipient field contains incomplete input!""1. compose mail2. write body subject and in the last step write email address into ""To"" field without selecting an email address from the dropdown3. click send 5.110 6 IMAP",bug+
"DiskFull problem when saving attached file is not taken into account . 1. be in an email with attached file2. ask to saved attached file3. having no more space on the sd cardK9 should warn that the file could not be savedK9 just creates an empty file!Probably latest... I don't see any entry in any K9 menus to get this information...OK found it in Android's menus: 5.01, but remark above still relevant: this info should be easily accessible from _within_ K9  4.4.2",bug+
"Ability to ""Pin"" important messages so they're always accessible. Sometimes I'll get airline/concert tickets in my email months ahead of time. But since K-9 only keeps a limited number of the most recent messages, when I search for them when it's time to board the airplane, it can't find them. I'd love a way to ""Pin"" a message, so that it doesn't get removed when newer messages push it out.#",enhancement+
"""Unable to save attachment to SD card"" since Android 6.0.1. Attachment should be saved on my extrenal SD Cardjava.io.FileNotFoundException: /storage/AC6E-B51D/Download/20160530082804967.pdf: open failed: EACCES (Permission denied)In some other apps like Estrong FileExplorer I believe I got some dialogue like ""chose actual path to SD card to get write access"". Don't remember exactly...1. Chose the save attachments to the external SD2. Receive an email with attachment3. Choose to save it5.010 Android 6.0.1Irrelevant[k9-log-save-attachement.txt](. ",bug+
crash when trying to create new mail (marshmallow). ##,bug+
Subject in expanded notifications doesn't take account of dark themes. ##,bug+
Eating outgoing mail (in Android N). ##,bug+
"infinite loop in downloadMessageBody. (Note to self)the `if (body == null) startDownloadingMessageBody` logic in MessageViewFragment might result in an infinite loop at the moment, that should probably be fixed to allow only a single pass",bug+
K9 crash try attaching files. ##,bug+
Answer acts like answer all. ##,bug+
Application crash on trying to open message. ##,bug+
Create new Identity from received mail. ##,enhancement+
Recipient box background colour not changed in dark theme when composing.. ##,bug+
Thread listed multiple times in the message list. Sometimes threads are listed more than once in the message list.This is because of a bug in the query to create the threaded message list in `EmailProvider`. Usually the latest message in a thread is displayed. But when multiple messages have the same timestamp all of them are displayed. 5.108![k9mail_threaded_list_display_error](. ,bug+
"Crash viewing an application/pgp message. Hi Philip,as discussed on the mailing list, here a crash log. To repeat: I have a message with```Content-Type: application/pgp; format=text; x-action=encrypt```where opening the message consistenly crashes K9, version 5.108Hope the log helps, let me know if you need any testing.Norbert[k9-crash-log.txt](. ",bug+
"K9 deletes Text on Phone Flip. I just entered text in the sig area, flipped the phone from horizontal to verticsl, text was gone.Version? No way to tell, latest from Play.",bug+
"Unable to view/read MIME attached forwarded emails. Today I forwarded myself an email as an attachment, but K9Mail isn't capable of reading it.That's right, K9Mail is an email application that can't read emails.The email itself is just a MIME attachment. I can download the file, but the only option available to open it is gmail. Yep, I have to open the attachment with gmail because I can't read it with K9Mail, which doesn't seem to register itself as a mail application with the system. 5.008 Cyanogenmod 12.1",enhancement+
"v5.009 does not use default and chosen language. I have two Android.On Android 4.4.4, v5.008 uses ",bug+
Some e-mails are unreadable after decryption. ##,bug+
App crashed by typing address in the address field when composing a message. ##,bug+
Reply flag is not set anymore when replying to a mail. ##,bug+
Application crash: no free notification ID. ##,bug+
FileBackedBody parts are sometimes not saved correctly. ##,bug+
ClassNotFoundException: com.fsck.k9.search.LocalSearch. ##,bug+
"Add sender name to contacts. It would be helpful, if the ""add to contacts"" function would not only pass the e-mail address, but also the real name to a new contact.Example:If there is an e-mail in the inbox from""Dr. Susan Miller (Veterinarian)"" mail@susan-dogs-and-cats.comK9 mail right now only importsmail@susan-dogs-and-cats.comto a new contact. To add the real name to this new contact, you would have to go the complicated way of changing back to k9 mail, copying the real name (that meany opening the mail, ""show headers"", copy the real name out of it), changing back to the new contact and add the real name.![k9-screenshot](. This would help a lot,thanks in advance!Spectas5.0085.1.1 (Cyanogenmod 12.1)Account type: IMAP + CardDAV (DAVdroid)",enhancement+
Crash on screen rotate with OpenPGP handled message. ##,bug+
"Add support for HTML signature. Will application have support HTML signature? If yes, when? It is a important thing for many users. Thank you.",enhancement+
Original encrypted body not quoted in reply. ##,enhancement+
"Crypto icon grey on reply. When replying to an encrypted email, the crypto Icon in the top right corner is grey, but should instead be orange/green. After clicking on it and closing the dialog it is correct.",bug+
Incorrect URL detection (final slash). ##,bug+
Option to remove negative feedback for encryption and signing. ##,enhancement+
Unable to send messages to servers that don't support 8-bit encoding. ##,bug+
"Issue when deleting recipient ""chip"". ##",bug+
NPE/Null object reference crash when attempting to decode certain messages. ##,bug+
"Request: Save passwords encrypted using Android KeyStore. Currently all IMAP/POP3/SMTP/WebDAV credentials are stored in the preferences as plain text. I would like to propose to encrypt the password(s) using the Android KeyStore API for devices with Android 4.3 (API level 18) and above.One ""drawback"" is of course that it will not be possible to include the passwords when importing/exporting the settings.. ",enhancement+
Enhancement: schedule email sending of a particular draft. ##,enhancement+
Select all is broken. ##,bug+
Local Save Failure. ##,bug+
can't compose Mails on fairphone2. ##,bug+
State of crypto mode selector lost on configuration change. ##,bug+
Can't send message without crypto provider. ##,bug+
K-9 is unable to fetch more than 9 messages from an Exchange server. #,bug+
Error with message count 0 in imap folders. ##,bug+
Notification stays after reading e-mail. ##,bug+
Failed to export settings. ##,bug+
Allow import of settings exported by newer version of the app. Currently we don't import settings files with a settings version number higher than our own. That means users often run into trouble when downgrading.Since we do strict input validation and discard unknown/invalid settings it shouldn't be a problem to allow the import of settings from a newer K-9 Mail version.,enhancement+
"Option to warn on no subject . It would be nice to have an option which would pop up a warning if message being sent has no subject.  While there may be occasions where no subject is what you want,  it is generally considered bad form.  I rarely do it,  but occasionally happens when in a rush to get the email out before I get to my stop when on public transit.  Kinda embarrassing. ",enhancement+
Opening no-more-existent mail crashes K9. Did delete a Mail from my IMAP account while my device running K9 had no internet connection. Then (once the device was connected to the internet again) tried to open this Mail => Crash.Might this be the root cause of Bug #814?##,bug+
Add option to copy sender/recipient email addresses to clipboard. May you implement a copy funktion to the email adress? Currently there is only the possibillity to add the email to the contacts.,enhancement+
"K9 crashes when 15+ folders exist. I have a Samsung Galaxy Note 3, running Android 5.0 and K9 5.007. If I set K9 to pull my IMAP folder list, just 1st class standard folders, everything is fine. If I have it set to 1st and 2nd, which loads between. 15 and 20 folders, K9 always crashes. It's not even downloading the folders' contents, just the folder names themselves at that point.",bug+
"Wrong image showing in e-mail body. When I look at an e-mail, the image (company logo of the recipient) at the bottom of the body is the wrong one. The image displayed belongs to a completely different e-mail from a completely different sender.It sounds to me that maybe the image in both e-mails have the same name and for an unknown reason, K9 do not show the correct one.I'm using K9 version 5.007 on Android version 5.1",bug+
Get rid of 8bit transport encoding. Supporting both `quoted-printable` and `8bit` as transport encoding is adding unnecessary complexity without much gain.Right now we use a transfer encoding of `8bit` when we compose a message. And when we connect to a SMTP server that does not support 8-bit messages we have to re-encode the message right before sending.See also #582.,enhancement+
"Improvement request: supress confirmation when closing totally empty new mail. After accidentally having created a new mail and closing it without having entered any receiver / subject / text (only automatic signature appeared), I am asked to confirm this action. This is annoying and I would be happy if the confirmation dialogue would be suppressed in those situations (as Thunderbird does). Thanks!",enhancement+
"Note 4 display keeps switching on. Display on my new Note 4 would keep switching on for no reason. Finally discovered K9 was causing issue if email saved to draft...............when draft deleted, issue stopped.",bug+
"No valid OpenPGP block found. Hi!I am not sure, whether this is an openkeychain issue or a k9 mail issue, that's why I'd like to post it here again: .  I use K9 5.007 and OpenKeyChain 3.7 on my Android with CM 12.1.When I reply a mail, K9 mail adds the old message quoted like this:> This is the reply mail followed by the quotation of the original mail:> > > -----BEGIN PGP MESSAGE-----> > Charset: utf-8> > Version: GnuPG v2> > > > hQIMA324sfl24ltklwqfl2tl2gwHowever, K9 mail cannot decrypt my sent message then and Thunderbird tells me that no valid OpenPGP block could be found. This is how the sent mail looks then:> -----BEGIN PGP MESSAGE-----> > hQIMAypJd8s8JCpBAQ//fWrPkSHfvGyh9YPbIn9OhQCOKCQM2yUusUiGbOxYPxbZWhen I compare it to a working encrypted mail > -----END PGP MESSAGE-----is missing here at the end of the mail. So only a part of the encrypted messages seems to be sent!#####",bug+
"Hang problem in HtmlSanitizer.java. Dear K9 Developers,I am implementing a hang-bug detection tool and I am analyzing K9 (master version downloaded yesterday) with it. I found that the main thread of K9, frequently callscom.fsck.k9.helper.HtmlSanitizer.sanitizeat code lines 25 and 29, which correspond to clean and getAsString, respectively,  often when an email is opened. In my experiments, the execution of those functions on the main thread may be the main cause of the eye-detectable delays (i.e., hang-bug) experienced with K9 while opening emails.Moving work off the main thread leads to higher responsiveness of the app. I suspect that it is actually possible to run the ""clean"" and ""getAsString"" functions on a background thread. Therefore, do you think that it is possible to move off the main thread those functions to improve responsiveness?Thanks for any information,I hope I can help improve K9.",enhancement+
Progress indicator with throughput while fetching a message / attachment. Currently only a simple popup with no metric of remaining time or download speed is shown when a message is partially on the phone but the rest is fetched from the IMAP server. Especially with big messages and a slow connection some indication of how long this might take would be great. This somewhat relates to  issue #574,enhancement+
Settings Export/Import . I have 3 accounts in K9 and performed an export from an old device to a new device. Only one account (IMAP) worked afterwards. The two POP3 accounts did not work after import. I had to delete and recreate the accounts for the two POP3 mailboxes in order for them to work. I can provide the settings file (privately) if needed. ,bug+
Hide alternate email address popup when user continues to type. When using a hardware keyboard it's possible to continue writing text while the dialog to select alternate email addresses is displayed. The can lead to the auto-complete popup being drawn on top of the alternate address popup.![k9mail_alternate_addresses_and_autocomplete](. ,bug+
"Make UidReverseComparator transitive. After loading a new mail message from pop3 server all messages dissapeared and in the inbox was visible just the message IllegalArgumentException. All messages were lost. I reinstalled K9, downloaded messages from pop3 server again, but two days later the same error arose and messages were lost again. I encountered this bug a year ago for the first time but now it's here again.",bug+
"widget is 2x2 instead of 1x1. would like to use it like an appicon, the actual space it uses is only 1x1, but it instead centers itself in a 2x2 space, making it look writequite ugly too. (works properly on my old Sony)",bug+
"Email incorrectly sent from personal account with busness name . nexus 5 k9mail 5.007 previously on 5.006 - no issues prior.to make it simple. 2 email accounts affected, one business and one personal. (personal default), both gmail.i composed a new email switched to my business account, it saved to draft a few times as i as was trying to find the cheque book, i didnt leave the screen.i sent the email only to find it was sent from my personal email with the business account name.saved to my personal sent folder but with the business name/email being displayed,the replied message displays it was sent from personal so k9mail was not displaying the correct email sent from.seems like a rare occurrence and i dont know how to reproduce it.i looked in the catlog (nothing), i realized i should of enabled extra debugging.i will update if it happens again",bug+
Individually encrypt attachments when using inline PGP. Only encrypting the body when using inline PGP seems like a bad idea. We should also encrypt the attachments instead of displaying a warning that attachments won't be encrypted.,enhancement+
"Can't read the full subject on long email subjects. Hi,I'm using K9 v 5.007 (from F-Droid) and realised there's no way to display the full titles of long emails except by opening it and then requesting to see the full headers.I would have expected to be able to touch, or maybe long touch the subject to see it in full.Hope this helps, a quick search didn't return any open issues about this.Cheers![screenshot_2015-12-11-15-09-04](. ",bug+
"Mails not appearing in the inbox. This is kind of hard to trigger. But it can be triggered at least on a Wiko Bloom and a Samsung Galaxy Note I:- Read something in full-screen mode using the kindle app- As soon as you get a notification for a mail that is part of a thread you have other mails of in your inbox tap the middle of the screen (which causes the notification bar to display) and while the notification bar animation showing the mail title mail by mail is still shown open the notification bar and tap on the notification from k9.- As soon as the mail appears: Press the home button.After that the mail is still in the inbox (Thunderbird will see it, the webmailer, too). But K9 Mail cannot see it anymore: It has disappeared from the inbox and the search function won't be able to find it, neither.",bug+
"checking hide password checkbock makes carret move. When creating a new account.1- Enter a few characters in the password field. Let's call these characters ""part 1"".2- Check the show password checkbox.3- Enter a few characters. Let's call these characters ""part 2""=> the latest characters (part 2) are entered before the earliest (part 1)Example :part 1 = abcpart 2 = xyzWhat is shown in the password field :1- ",bug+
"Support TLS extension ""SNI"" / Server Name Indication. K-9 should support SNI as Let's Encrypt makes free & automated SSL Certificates widely available. Having virtual hosting on a single IP however any SSL Certificates are usable only if K-9 supports SNI.. SNI addresses this issue by having the client send the name of the virtual domain as part of the TLS negotiation.[2] This enables the server to select the correct virtual domain early and present the browser with the certificate containing the correct name. Therefore, with clients and servers that implement SNI, a server with a single IP address can serve a group of domain names for which it is impractical to get a common certificate.SNI was added to the IETF's Internet RFCs in June 2003 through RFC 3546, Transport Layer Security (TLS) Extensions. The latest version of the standard is RFC 6066.",enhancement+
"k9mail frequently crashes when deleting mail (bulk or individual) IMAP Inbox: BUG. K9 mail client crashes almost every time I delete mail from my inbox.Especially bulk delete.I've done the basic things one would do to fix.Reinstall, delete and recreate account.There is plenty of disc space on my device. I've enabled debugging. I don't know what else to do.Can you help please?",bug+
"backslash in username does not work for IMAP login. I need to access an exchange server via IMAP. My username has the form username@domain\special_mailbox .Authentication with just username for the personal mailbox works fine but not for the special mailbox with the backslash syntax above.I tried two backslashes since I suspected some java string escaping problem, but that did not work either.",bug+
"multipart issue with empty body. I periodically receive a newsletter with following (simplified) content. ```Content-Type: multipart/alternative; boundary=""-----7D81B75CCC90D2974F7A1CBD""-------7D81B75CCC90D2974F7A1CBDContent-Type: text/plainContent-Transfer-Encoding: quoted-printable-------7D81B75CCC90D2974F7A1CBDContent-Type: text/html; charset=""iso-8859-1""Content-Transfer-Encoding: quoted-printable<HTML><BODY>Some html text</BODY></HTML>-------7D81B75CCC90D2974F7A1CBD--```##",bug+
issues with saving to drafts. K9 doesn't save the signature in the draft.Therefore it forgets changes in the signature that were made for this particular email.And it saves quotations from previous emails to the draft even if you clicked on the x to not include them.If you reopen the draft with K9 Mail the signature will be the default one again.If you open it with another email program (IMAP) it won't display any signature at all (at least Thunderbird didn't),bug+
password changed -> no notification. K9 doesn't inform you when the password that it uses to log in to the mail server is suddenly wrong.It just stops updating your mails because the connection fails.But you cannot see that. ,enhancement+
"Draft not saved when using mailto: link. Saving a Massage works when creating a new one inside of k9, but not when started from a mailto: link, eg. In a browser. Using save in the menu shows the ""Massage saved"" overlay, but i can't find it in the drafts folder. ",bug+
